Elapsed Time (ms),ECEF X (m),ECEF Y (m),ECEF Z (m),Yaw (deg),Pitch (deg),Roll (deg),Velocity X (m/s),Velocity Y (m/s),Velocity Z (m/s),Accel. X (m/s^2),Accel. Y (m/s^2),Accel. Z (m/s^2),GPS TOW,GPS Week Number
13100,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172813.100,2099
13200,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172813.200,2099
13300,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172813.300,2099
13400,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172813.400,2099
13500,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172813.500,2099
13600,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172813.600,2099
13700,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172813.700,2099
13800,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172813.800,2099
13900,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172813.900,2099
14000,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172814.000,2099
14100,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172814.100,2099
14200,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172814.200,2099
14300,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172814.300,2099
14400,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172814.400,2099
14500,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172814.500,2099
14600,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172814.600,2099
14700,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172814.700,2099
14800,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172814.800,2099
14900,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172814.900,2099
15000,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172815.000,2099
15100,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172815.100,2099
15200,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172815.200,2099
15300,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172815.300,2099
15400,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172815.400,2099
15500,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172815.500,2099
15600,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172815.600,2099
15700,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172815.700,2099
15800,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172815.800,2099
15900,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172815.900,2099
